date,CAT_irn,FieldDept,cumulative,rel_freq
2008-12,1140517,Anthropology,567,100
2009-01,1257902,Anthropology,116,100
2010-02,1257902,Anthropology,174,100
2010-02,171200,Botany,6,2
2010-05,791856,Zoology_Birds,1,50
2010-05,791867,Zoology_Birds,1,50
2010-06,188541,Zoology_Insects,56,100
2010-06,188877,Zoology_Insects,38,39
2010-07,191097,Zoology_Insects,44,100
2010-07,188877,Zoology_Insects,40,11
2010-08,188541,Zoology_Insects,58,20
2010-08,191097,Zoology_Insects,46,20
2010-08,188877,Zoology_Insects,42,20
2010-08,188829,Zoology_Insects,36,20
2010-08,190092,Zoology_Insects,36,20
2010-09,2532676,Zoology_Mammals,4,50
2010-09,2532697,Zoology_Mammals,3,50
2010-09,2532417,Zoology_Mammals,2,50
2010-09,2532665,Zoology_Mammals,2,50
2010-09,2532666,Zoology_Mammals,2,50
2010-10,171200,Botany,7,100
2010-12,1257902,Anthropology,232,100
2011-04,188541,Zoology_Insects,60,40
2011-08,1820868,Botany,7,17
2011-08,1821258,Botany,7,17
2011-08,1821261,Botany,7,17
2011-08,1820008,Botany,6,33
2011-08,1820021,Botany,6,33
2011-08,1820022,Botany,6,33
2011-08,1820023,Botany,6,33
2011-08,1820556,Botany,6,17
2011-08,1820571,Botany,6,17
2011-08,1820586,Botany,6,17
2011-10,1257902,Anthropology,261,100
2011-11,1257902,Anthropology,290,100
2012-02,1257902,Anthropology,348,100
2012-03,1820026,Botany,6,33
2012-04,1821285,Botany,7,50
2012-04,1822020,Botany,7,75
2012-04,1820625,Botany,6,50
2012-05,171200,Botany,8,25
2012-06,1257902,Anthropology,377,85
2012-06,1252131,Anthropology,51,100
2012-08,148716,Zoology_Invertebrates,12,20
2012-08,602606,Zoology_Fishes,1,10
2012-12,1821283,Botany,7,33
2012-12,1821284,Botany,7,33
2013-01,1264129,Anthropology,44,73
2013-02,1029280,Anthropology,60,100
2013-02,1354168,Anthropology,50,67
2013-02,1264129,Anthropology,48,13
2013-02,1020290,Anthropology,44,73
2013-04,1257902,Anthropology,406,100
2013-04,2309529,Geology_Fossil Invertebrates,1,38
2013-04,2309982,Geology_Fossil Invertebrates,1,75
2013-05,417913,Zoology_Invertebrates,12,38
2013-06,1842390,Zoology_Amphibians and Reptiles,6,50
2013-06,1828718,Zoology_Amphibians and Reptiles,4,50
2013-08,1237343,Anthropology,40,100
2013-09,1354168,Anthropology,60,63
2013-09,1237343,Anthropology,56,100
2013-10,1257902,Anthropology,435,100
2013-10,1252131,Anthropology,68,59
2013-10,1264129,Anthropology,56,28
2013-12,1140517,Anthropology,693,100
2013-12,1257902,Anthropology,522,69
2013-12,1018853,Anthropology,40,12
2014-02,1140517,Anthropology,756,100
2014-02,1237343,Anthropology,64,13
2014-02,1353810,Anthropology,48,25
2014-02,1018253,Anthropology,45,16
2014-03,1252131,Anthropology,85,100
2014-04,1264129,Anthropology,60,29
2014-04,1353810,Anthropology,56,57
2014-04,1354103,Anthropology,42,100
2014-04,2204647,Geology_Paleobotany,24,60
2014-04,2255579,Geology_Paleobotany,24,38
2014-04,2254830,Geology_Paleobotany,21,38
2014-04,2254832,Geology_Paleobotany,21,38
2014-04,2254834,Geology_Paleobotany,21,38
2014-04,2254836,Geology_Paleobotany,21,38
2014-04,2254838,Geology_Paleobotany,21,38
2014-04,2254840,Geology_Paleobotany,21,38
2014-04,2255012,Geology_Paleobotany,21,38
2014-05,1140517,Anthropology,819,100
2014-05,1237343,Anthropology,72,13
2014-05,1353810,Anthropology,64,13
2014-06,1237343,Anthropology,80,100
2014-06,1087272,Anthropology,40,100
2014-06,2204647,Geology_Paleobotany,27,10
2014-06,2255579,Geology_Paleobotany,27,21
2014-06,2254830,Geology_Paleobotany,24,10
2014-06,2254832,Geology_Paleobotany,24,10
2014-06,2254834,Geology_Paleobotany,24,10
2014-06,2254836,Geology_Paleobotany,24,10
2014-06,2254838,Geology_Paleobotany,24,10
2014-06,2254840,Geology_Paleobotany,24,10
2014-06,2255012,Geology_Paleobotany,24,10
