date,CAT_irn,FieldDept,cumulative,rel_freq
2009-07,45955,Botany,1,17
2010-10,45955,Botany,2,100
2011-03,45955,Botany,4,18
2009-07,47616,Botany,1,17
2010-02,47616,Botany,2,2
2010-10,47616,Botany,3,100
2010-11,47616,Botany,4,100
2009-07,47621,Botany,1,17
2010-02,47621,Botany,2,2
2010-10,47621,Botany,3,100
2009-07,47983,Botany,1,17
2010-10,47983,Botany,2,100
2009-07,49009,Botany,1,17
2010-10,49009,Botany,2,100
2012-02,49009,Botany,4,3
2012-03,49009,Botany,5,33
2009-07,49010,Botany,1,17
2010-10,49010,Botany,2,100
2009-07,50649,Botany,1,17
2010-10,50649,Botany,2,100
2009-07,51113,Botany,1,17
2010-10,51113,Botany,2,100
2011-01,51113,Botany,3,33
2009-07,52177,Botany,1,17
2010-10,52177,Botany,2,100
2009-07,52192,Botany,1,17
2010-10,52192,Botany,2,100
2009-07,52695,Botany,1,17
2010-05,52695,Botany,2,50
2010-10,52695,Botany,3,100
2009-07,53421,Botany,1,17
2010-10,53421,Botany,2,100
2009-07,53527,Botany,1,17
2010-10,53527,Botany,2,100
2009-07,53585,Botany,1,17
2010-10,53585,Botany,2,100
2011-03,53585,Botany,5,27
2009-07,54870,Botany,1,17
2010-10,54870,Botany,2,100
2012-02,54870,Botany,4,3
2012-03,54870,Botany,5,33
2009-07,55007,Botany,1,17
2010-10,55007,Botany,2,100
2008-06,148716,Zoology_Invertebrates,2,100
2008-12,148716,Zoology_Invertebrates,10,1
2012-08,148716,Zoology_Invertebrates,12,20
2008-06,155481,Anthropology,2,100
2008-09,155481,Anthropology,6,100
2008-10,155481,Anthropology,8,13
2011-04,155481,Anthropology,10,40
2011-06,155481,Anthropology,12,25
2012-04,155481,Anthropology,14,50
2012-06,155481,Anthropology,20,18
2012-08,155481,Anthropology,22,20
2012-11,155481,Anthropology,24,13
2013-01,155481,Anthropology,26,18
2013-03,155481,Anthropology,28,40
2013-10,155481,Anthropology,30,7
2014-06,155481,Anthropology,32,25
2014-08,155481,Anthropology,44,5
2008-06,162238,Anthropology,1,50
2009-01,162238,Anthropology,4,3
2011-04,162238,Anthropology,5,20
2011-06,162238,Anthropology,6,13
2012-04,162238,Anthropology,7,25
2012-05,162238,Anthropology,10,75
2012-11,162238,Anthropology,11,7
2013-01,162238,Anthropology,13,18
2013-02,162238,Anthropology,14,3
2013-03,162238,Anthropology,15,20
2013-10,162238,Anthropology,17,7
2014-03,162238,Anthropology,20,18
2014-07,162238,Anthropology,22,3
2014-08,162238,Anthropology,27,2
2008-06,169666,Anthropology,1,50
2008-10,169666,Anthropology,3,13
2008-11,169666,Anthropology,4,50
2011-06,169666,Anthropology,5,13
2012-04,169666,Anthropology,6,25
2012-05,169666,Anthropology,9,75
2012-11,169666,Anthropology,10,7
2013-01,169666,Anthropology,12,18
2013-02,169666,Anthropology,13,3
2013-03,169666,Anthropology,14,20
2014-06,169666,Anthropology,15,13
2014-08,169666,Anthropology,22,3
2008-06,169667,Anthropology,1,50
2008-10,169667,Anthropology,3,13
2008-11,169667,Anthropology,4,50
2011-06,169667,Anthropology,5,13
2012-04,169667,Anthropology,6,25
2012-05,169667,Anthropology,9,75
2012-11,169667,Anthropology,10,7
2013-01,169667,Anthropology,12,18
2013-02,169667,Anthropology,13,3
2013-03,169667,Anthropology,14,20
