"","date","CAT_irn","FieldDept","cumulative","rel_freq"
"47","2008-06",155481,"Anthropology",2,100
"48","2008-09",155481,"Anthropology",6,100
"49","2008-10",155481,"Anthropology",8,13
"50","2011-04",155481,"Anthropology",10,40
"51","2011-06",155481,"Anthropology",12,25
"52","2012-04",155481,"Anthropology",14,50
"53","2012-06",155481,"Anthropology",20,18
"54","2012-08",155481,"Anthropology",22,20
"55","2012-11",155481,"Anthropology",24,13
"56","2013-01",155481,"Anthropology",26,18
"57","2013-03",155481,"Anthropology",28,40
"58","2013-10",155481,"Anthropology",30,7
"59","2014-06",155481,"Anthropology",32,25
"60","2014-08",155481,"Anthropology",44,5
"61","2008-06",162238,"Anthropology",1,50
"62","2009-01",162238,"Anthropology",4,3
"63","2011-04",162238,"Anthropology",5,20
"64","2011-06",162238,"Anthropology",6,13
"65","2012-04",162238,"Anthropology",7,25
"66","2012-05",162238,"Anthropology",10,75
"67","2012-11",162238,"Anthropology",11,7
"68","2013-01",162238,"Anthropology",13,18
"69","2013-02",162238,"Anthropology",14,3
"70","2013-03",162238,"Anthropology",15,20
"71","2013-10",162238,"Anthropology",17,7
"72","2014-03",162238,"Anthropology",20,18
"73","2014-07",162238,"Anthropology",22,3
"74","2014-08",162238,"Anthropology",27,2
"75","2008-06",169666,"Anthropology",1,50
"76","2008-10",169666,"Anthropology",3,13
"77","2008-11",169666,"Anthropology",4,50
"78","2011-06",169666,"Anthropology",5,13
"79","2012-04",169666,"Anthropology",6,25
"80","2012-05",169666,"Anthropology",9,75
"81","2012-11",169666,"Anthropology",10,7
"82","2013-01",169666,"Anthropology",12,18
"83","2013-02",169666,"Anthropology",13,3
"84","2013-03",169666,"Anthropology",14,20
"85","2014-06",169666,"Anthropology",15,13
"86","2014-08",169666,"Anthropology",22,3
"87","2008-06",169667,"Anthropology",1,50
"88","2008-10",169667,"Anthropology",3,13
"89","2008-11",169667,"Anthropology",4,50
"90","2011-06",169667,"Anthropology",5,13
"91","2012-04",169667,"Anthropology",6,25
"92","2012-05",169667,"Anthropology",9,75
"93","2012-11",169667,"Anthropology",10,7
"94","2013-01",169667,"Anthropology",12,18
"95","2013-02",169667,"Anthropology",13,3
"96","2013-03",169667,"Anthropology",14,20
"97","2014-06",169667,"Anthropology",15,13
"98","2014-08",169667,"Anthropology",21,2
"99","2008-06",169684,"Anthropology",1,50
"100","2008-10",169684,"Anthropology",3,13
"101","2008-11",169684,"Anthropology",4,50
"102","2011-06",169684,"Anthropology",5,13
"103","2012-04",169684,"Anthropology",6,25
"104","2012-06",169684,"Anthropology",10,12
"105","2012-11",169684,"Anthropology",11,7
"106","2013-01",169684,"Anthropology",13,18
"107","2013-02",169684,"Anthropology",14,3
"108","2013-03",169684,"Anthropology",15,20
"109","2014-06",169684,"Anthropology",16,13
"110","2014-08",169684,"Anthropology",21,2
"111","2008-06",169714,"Anthropology",1,50
"112","2008-09",169714,"Anthropology",2,25
"113","2008-10",169714,"Anthropology",3,7
"114","2008-11",169714,"Anthropology",4,50
"115","2011-06",169714,"Anthropology",5,13
"116","2012-04",169714,"Anthropology",6,25
"117","2012-05",169714,"Anthropology",7,25
"118","2012-11",169714,"Anthropology",8,7
"119","2013-01",169714,"Anthropology",10,18
"120","2013-02",169714,"Anthropology",11,3
"121","2013-03",169714,"Anthropology",12,20
"122","2014-05",169714,"Anthropology",13,2
"123","2014-08",169714,"Anthropology",19,2
"124","2008-06",169752,"Anthropology",1,50
"125","2008-09",169752,"Anthropology",2,25
"126","2008-10",169752,"Anthropology",3,7
"127","2008-11",169752,"Anthropology",4,50
"128","2011-06",169752,"Anthropology",5,13
"129","2012-04",169752,"Anthropology",6,25
"130","2012-05",169752,"Anthropology",7,25
"131","2012-11",169752,"Anthropology",8,7
"132","2013-01",169752,"Anthropology",9,9
"133","2013-02",169752,"Anthropology",11,7
"134","2013-03",169752,"Anthropology",12,20
"135","2014-06",169752,"Anthropology",13,13
"136","2014-08",169752,"Anthropology",18,2
"137","2008-06",169849,"Anthropology",1,50
"138","2008-09",169849,"Anthropology",2,25
"139","2008-11",169849,"Anthropology",3,50
"140","2011-06",169849,"Anthropology",4,13
"141","2012-04",169849,"Anthropology",5,25
"142","2012-05",169849,"Anthropology",6,25
"143","2013-01",169849,"Anthropology",9,27
"144","2013-03",169849,"Anthropology",10,20
"145","2014-06",169849,"Anthropology",11,13
"146","2014-08",169849,"Anthropology",16,2
"147","2008-06",171200,"Botany",1,50
"148","2008-09",171200,"Botany",3,50
"149","2008-11",171200,"Botany",5,100
"150","2010-02",171200,"Botany",6,2
"151","2010-10",171200,"Botany",7,100
"152","2012-05",171200,"Botany",8,25
"153","2008-06",172495,"Anthropology",1,50
"154","2008-12",172495,"Anthropology",2,0
"155","2009-01",172495,"Anthropology",4,2
"156","2011-04",172495,"Anthropology",5,20
"157","2011-06",172495,"Anthropology",6,13
"158","2012-04",172495,"Anthropology",7,25
"159","2012-09",172495,"Anthropology",8,20
"160","2013-01",172495,"Anthropology",9,9
"161","2013-03",172495,"Anthropology",10,20
"162","2014-06",172495,"Anthropology",11,13
"163","2014-08",172495,"Anthropology",16,2
"164","2008-06",175041,"Anthropology",1,50
"165","2008-09",175041,"Anthropology",4,75
"166","2008-12",175041,"Anthropology",5,0
"167","2011-04",175041,"Anthropology",6,20
"168","2011-06",175041,"Anthropology",7,13
"169","2012-04",175041,"Anthropology",8,25
"170","2013-02",175041,"Anthropology",11,10
"171","2013-03",175041,"Anthropology",12,20
"172","2014-06",175041,"Anthropology",13,13
"173","2014-07",175041,"Anthropology",14,1
"174","2014-08",175041,"Anthropology",19,2
"175","2008-06",188140,"Anthropology",1,50
"176","2008-12",188140,"Anthropology",2,0
"177","2009-01",188140,"Anthropology",4,2
"178","2011-04",188140,"Anthropology",5,20
"179","2011-06",188140,"Anthropology",6,13
"180","2012-04",188140,"Anthropology",7,25
"181","2012-09",188140,"Anthropology",8,20
"182","2013-01",188140,"Anthropology",10,18
"183","2013-02",188140,"Anthropology",11,3
"184","2013-03",188140,"Anthropology",12,20
"185","2013-10",188140,"Anthropology",14,7
"186","2014-03",188140,"Anthropology",16,12
"187","2014-07",188140,"Anthropology",18,3
"188","2014-08",188140,"Anthropology",23,2
"189","2008-06",188541,"Zoology_Insects",2,100
"190","2008-09",188541,"Zoology_Insects",4,50
"191","2008-12",188541,"Zoology_Insects",6,0
"192","2009-02",188541,"Zoology_Insects",8,100
"193","2009-05",188541,"Zoology_Insects",28,100
"194","2009-07",188541,"Zoology_Insects",30,33
"195","2010-06",188541,"Zoology_Insects",56,100
"196","2010-08",188541,"Zoology_Insects",58,20
"197","2011-04",188541,"Zoology_Insects",60,40
"198","2008-06",188662,"Anthropology",2,100
"199","2008-09",188662,"Anthropology",4,50
"200","2009-02",188662,"Anthropology",6,100
"201","2009-05",188662,"Anthropology",10,20
"202","2011-04",188662,"Anthropology",12,40
"203","2011-06",188662,"Anthropology",16,50
"204","2012-04",188662,"Anthropology",18,50
"205","2012-07",188662,"Anthropology",20,50
"206","2013-03",188662,"Anthropology",22,40
"207","2014-05",188662,"Anthropology",26,6
"208","2014-08",188662,"Anthropology",38,5
"209","2008-06",188801,"Zoology_Insects",1,50
"210","2008-12",188801,"Zoology_Insects",2,0
"211","2009-01",188801,"Zoology_Insects",3,1
"212","2009-05",188801,"Zoology_Insects",11,40
"213","2009-07",188801,"Zoology_Insects",12,17
"214","2009-08",188801,"Zoology_Insects",13,50
"215","2010-06",188801,"Zoology_Insects",17,15
"216","2011-04",188801,"Zoology_Insects",18,20
"217","2008-06",188821,"Zoology_Insects",1,50
"218","2008-12",188821,"Zoology_Insects",2,0
"219","2009-01",188821,"Zoology_Insects",3,1
"220","2009-05",188821,"Zoology_Insects",5,10
"221","2009-07",188821,"Zoology_Insects",6,17
"222","2009-08",188821,"Zoology_Insects",8,100
"223","2010-06",188821,"Zoology_Insects",12,15
"224","2011-04",188821,"Zoology_Insects",13,20
"225","2008-06",188824,"Zoology_Insects",2,100
"226","2008-12",188824,"Zoology_Insects",4,0
