department,catalogIRN,date,frequency,cumulative
Anthropology,155481,2008-06,100,2
Anthropology,155481,2008-09,100,6
Anthropology,155481,2008-10,13,8
Anthropology,155481,2011-04,40,10
Anthropology,155481,2011-06,25,12
Anthropology,155481,2012-04,50,14
Anthropology,155481,2012-06,18,20
Anthropology,155481,2012-08,20,22
Anthropology,155481,2012-11,13,24
Anthropology,155481,2013-01,18,26
Anthropology,155481,2013-03,40,28
Anthropology,155481,2013-10,7,30
Anthropology,155481,2014-06,25,32
Anthropology,155481,2014-08,5,44
Anthropology,162238,2008-06,50,1
Anthropology,162238,2009-01,3,4
Anthropology,162238,2011-04,20,5
Anthropology,162238,2011-06,13,6
Anthropology,162238,2012-04,25,7
Anthropology,162238,2012-05,75,10
Anthropology,162238,2012-11,7,11
Anthropology,162238,2013-01,18,13
Anthropology,162238,2013-02,3,14
Anthropology,162238,2013-03,20,15
Anthropology,162238,2013-10,7,17
Anthropology,162238,2014-03,18,20
Anthropology,162238,2014-07,3,22
Anthropology,162238,2014-08,2,27
Anthropology,169666,2008-06,50,1
Anthropology,169666,2008-10,13,3
Anthropology,169666,2008-11,50,4
Anthropology,169666,2011-06,13,5
Anthropology,169666,2012-04,25,6
Anthropology,169666,2012-05,75,9
Anthropology,169666,2012-11,7,10
Anthropology,169666,2013-01,18,12
Anthropology,169666,2013-02,3,13
Anthropology,169666,2013-03,20,14
Anthropology,169666,2014-06,13,15
Anthropology,169666,2014-08,3,22
Anthropology,169667,2008-06,50,1
Anthropology,169667,2008-10,13,3
Anthropology,169667,2008-11,50,4
Anthropology,169667,2011-06,13,5
Anthropology,169667,2012-04,25,6
Anthropology,169667,2012-05,75,9
Anthropology,169667,2012-11,7,10
Anthropology,169667,2013-01,18,12
Anthropology,169667,2013-02,3,13
Anthropology,169667,2013-03,20,14
Anthropology,169667,2014-06,13,15
Anthropology,169667,2014-08,2,21
Anthropology,169684,2008-06,50,1
Anthropology,169684,2008-10,13,3
Anthropology,169684,2008-11,50,4
Anthropology,169684,2011-06,13,5
Anthropology,169684,2012-04,25,6
Anthropology,169684,2012-06,12,10
Anthropology,169684,2012-11,7,11
Anthropology,169684,2013-01,18,13
Anthropology,169684,2013-02,3,14
Anthropology,169684,2013-03,20,15
Anthropology,169684,2014-06,13,16
Anthropology,169684,2014-08,2,21
Anthropology,169714,2008-06,50,1
Anthropology,169714,2008-09,25,2
Anthropology,169714,2008-10,7,3
Anthropology,169714,2008-11,50,4
Anthropology,169714,2011-06,13,5
Anthropology,169714,2012-04,25,6
Anthropology,169714,2012-05,25,7
Anthropology,169714,2012-11,7,8
Anthropology,169714,2013-01,18,10
Anthropology,169714,2013-02,3,11
Anthropology,169714,2013-03,20,12
Anthropology,169714,2014-05,2,13
Anthropology,169714,2014-08,2,19
Anthropology,169752,2008-06,50,1
Anthropology,169752,2008-09,25,2
Anthropology,169752,2008-10,7,3
Anthropology,169752,2008-11,50,4
Anthropology,169752,2011-06,13,5
Anthropology,169752,2012-04,25,6
Anthropology,169752,2012-05,25,7
Anthropology,169752,2012-11,7,8
Anthropology,169752,2013-01,9,9
Anthropology,169752,2013-02,7,11
Anthropology,169752,2013-03,20,12
Anthropology,169752,2014-06,13,13
Anthropology,169752,2014-08,2,18
Anthropology,169849,2008-06,50,1
Anthropology,169849,2008-09,25,2
Anthropology,169849,2008-11,50,3
Anthropology,169849,2011-06,13,4
Anthropology,169849,2012-04,25,5
Anthropology,169849,2012-05,25,6
Anthropology,169849,2013-01,27,9
Anthropology,169849,2013-03,20,10
Anthropology,169849,2014-06,13,11
Anthropology,169849,2014-08,2,16
Botany,171200,2008-06,50,1
Botany,171200,2008-09,50,3
Botany,171200,2008-11,100,5
Botany,171200,2010-02,2,6
Botany,171200,2010-10,100,7
Botany,171200,2012-05,25,8
Anthropology,172495,2008-06,50,1
Anthropology,172495,2008-12,0,2
Anthropology,172495,2009-01,2,4
Anthropology,172495,2011-04,20,5
Anthropology,172495,2011-06,13,6
Anthropology,172495,2012-04,25,7
Anthropology,172495,2012-09,20,8
Anthropology,172495,2013-01,9,9
Anthropology,172495,2013-03,20,10
Anthropology,172495,2014-06,13,11
Anthropology,172495,2014-08,2,16
Anthropology,175041,2008-06,50,1
Anthropology,175041,2008-09,75,4
Anthropology,175041,2008-12,0,5
Anthropology,175041,2011-04,20,6
Anthropology,175041,2011-06,13,7
Anthropology,175041,2012-04,25,8
Anthropology,175041,2013-02,10,11
Anthropology,175041,2013-03,20,12
Anthropology,175041,2014-06,13,13
Anthropology,175041,2014-07,1,14
Anthropology,175041,2014-08,2,19
Anthropology,188140,2008-06,50,1
Anthropology,188140,2008-12,0,2
Anthropology,188140,2009-01,2,4
Anthropology,188140,2011-04,20,5
Anthropology,188140,2011-06,13,6
Anthropology,188140,2012-04,25,7
Anthropology,188140,2012-09,20,8
Anthropology,188140,2013-01,18,10
Anthropology,188140,2013-02,3,11
Anthropology,188140,2013-03,20,12
Anthropology,188140,2013-10,7,14
Anthropology,188140,2014-03,12,16
Anthropology,188140,2014-07,3,18
Anthropology,188140,2014-08,2,23
Zoology_Insects,188541,2008-06,100,2
Zoology_Insects,188541,2008-09,50,4
Zoology_Insects,188541,2008-12,0,6
Zoology_Insects,188541,2009-02,100,8
Zoology_Insects,188541,2009-05,100,28
Zoology_Insects,188541,2009-07,33,30
Zoology_Insects,188541,2010-06,100,56
Zoology_Insects,188541,2010-08,20,58
Zoology_Insects,188541,2011-04,40,60
Anthropology,188662,2008-06,100,2
Anthropology,188662,2008-09,50,4
Anthropology,188662,2009-02,100,6
Anthropology,188662,2009-05,20,10
Anthropology,188662,2011-04,40,12
Anthropology,188662,2011-06,50,16
Anthropology,188662,2012-04,50,18
Anthropology,188662,2012-07,50,20
Anthropology,188662,2013-03,40,22
Anthropology,188662,2014-05,6,26
Anthropology,188662,2014-08,5,38
Zoology_Insects,188801,2008-06,50,1
Zoology_Insects,188801,2008-12,0,2
Zoology_Insects,188801,2009-01,1,3
Zoology_Insects,188801,2009-05,40,11
Zoology_Insects,188801,2009-07,17,12
Zoology_Insects,188801,2009-08,50,13
Zoology_Insects,188801,2010-06,15,17
Zoology_Insects,188801,2011-04,20,18
Zoology_Insects,188821,2008-06,50,1
Zoology_Insects,188821,2008-12,0,2
Zoology_Insects,188821,2009-01,1,3
Zoology_Insects,188821,2009-05,10,5
Zoology_Insects,188821,2009-07,17,6
Zoology_Insects,188821,2009-08,100,8
Zoology_Insects,188821,2010-06,15,12
Zoology_Insects,188821,2011-04,20,13
Zoology_Insects,188824,2008-06,100,2
Zoology_Insects,188824,2008-12,0,4
Zoology_Insects,188824,2009-01,2,6
Zoology_Insects,188824,2009-05,20,10
Zoology_Insects,188824,2009-07,33,12
Zoology_Insects,188824,2009-08,100,14
Zoology_Insects,188824,2010-06,31,22
Zoology_Insects,188824,2010-07,11,24
Zoology_Insects,188824,2010-08,20,26
Zoology_Insects,188824,2011-04,40,28
Zoology_Insects,188826,2008-06,50,1
Zoology_Insects,188826,2008-12,0,2
Zoology_Insects,188826,2009-01,1,3
Zoology_Insects,188826,2009-05,10,5
